,category,data_num,success_num,cover_rate,second_accurcy
0,五金配件,2,2,100.0,100.0
1,仪器仪表,7,7,100.0,100.0
2,休闲娱乐,96,94,97.917,61.702
3,保姆月嫂,27,17,62.963,47.059
4,保洁清洗,326,325,99.693,74.462
5,公司注册,301,300,99.668,88.667
6,其他教育培训,16,15,93.75,0.0
7,农林牧副渔,6,6,100.0,100.0
8,冶金矿产,7,7,100.0,100.0
9,出国劳务,13,12,92.308,83.333
10,化工能源,4,4,100.0,100.0
11,司机,4,4,100.0,100.0
12,外语培训,2,1,50.0,100.0
13,婴幼儿教育,3,2,66.667,0.0
14,学历教育,48,48,100.0,68.75
15,家居家纺,1,1,100.0,100.0
16,家电维修,623,623,100.0,64.848
17,工业设备,13,13,100.0,84.615
18,建材服务,373,364,97.587,53.846
19,开锁修锁,115,115,100.0,89.565
20,房屋维修,96,95,98.958,38.947
21,抵押车不过户车辆,9,9,100.0,100.0
22,招商加盟,43,43,100.0,93.023
23,拼车顺风车,2,2,100.0,100.0
24,搬家服务,534,533,99.813,94.747
25,新房出售,32,32,100.0,100.0
26,橡塑涂料,15,15,100.0,86.667
27,水暖电工,11,11,100.0,63.636
28,物业管理保安,1,1,100.0,100.0
29,物品回收,1202,1202,100.0,98.835
30,狗狗,7,7,100.0,100.0
31,猫猫,4,4,100.0,100.0
32,生活配送,36,36,100.0,69.444
33,电子元器件,4,4,100.0,100.0
34,电脑维修,40,40,100.0,82.5
35,白事服务,138,137,99.275,100.0
36,租车服务,233,227,97.425,80.176
37,管道维修,196,196,100.0,26.02
38,线缆照明,1,1,100.0,100.0
39,维修保养,34,34,100.0,76.471
40,网络安防,28,28,100.0,100.0
41,网络直播,4,4,100.0,100.0
42,美工设计,2,2,100.0,100.0
43,翻译服务,7,7,100.0,100.0
44,职业技能,55,54,98.182,77.778
45,设备租赁,182,179,98.352,87.709
46,货车,3,3,100.0,100.0
47,货运物流,114,109,95.614,78.899
48,过户验车,6,6,100.0,83.333
49,驾校服务,34,28,82.353,85.714
50,高价收车,19,19,100.0,94.737
51,total,5079,5028,98.996,80.41
